Item,Description,Width,Rabbet Height,Lip Size,Length,Chop,Join,Group,UPC
FC-312ML,FC Clear Lacquer #312 Maple,1.5,0.687,0.25,,,30.97,Wood,
312MW,WhiteWash #312 Maple,1.5,0.687,0.25,12.08,16.67,22.5,Wood,
FC-312MW,FC WhiteWash #312 Maple,1.5,0.687,0.25,,,31.65,Wood,
312MT,White #312 Maple,1.5,0.687,0.25,11.29,15.58,21.03,Wood,
FC-312MT,FC White #312 Maple,1.5,0.687,0.25,,,32.34,Wood,
312MK,Satin Black #312 Maple,1.5,0.687,0.25,11.29,15.58,21.03,Wood,
FC-312MK,FC Satin Black #312 Maple,1.5,0.687,0.25,,,32.34,Wood,
312MA,Warm White #312 Maple,1.5,0.687,0.25,11.29,15.58,21.03,Wood,
FC-312MA,FC Warm White #312 Maple,1.5,0.687,0.25,,,32.34,Wood,
312MI,Rising White #312 Maple,1.5,0.687,0.25,11.29,15.58,21.03,Wood,
FC-312MI,FC Rising White #312 Maple,1.5,0.687,0.25,,,32.34,Wood,
312M1,Light Grey #312 Maple,1.5,0.687,0.25,11.29,15.58,21.03,Wood,
FC-312M1,FC Light Grey #312 Maple,1.5,0.687,0.25,,,32.34,Wood,
312M2,Medium Grey #312 Maple,1.5,0.687,0.25,11.29,15.58,21.03,Wood,
FC-312M2,FC Medium Grey #312 Maple,1.5,0.687,0.25,,,32.34,Wood,
312M3,Dark Grey #312 Maple,1.5,0.687,0.25,11.29,15.58,21.03,Wood,
FC-312M3,FC Dark Grey #312 Maple,1.5,0.687,0.25,,,32.34,Wood,
312M9,Wheat #312 Maple,1.5,0.687,0.25,12.08,16.67,22.5,Wood,
FC-312M9,FC Wheat #312 Maple,1.5,0.687,0.25,,,32.34,Wood,
312WR,Raw #312 Walnut,1.5,0.687,0.25,11.04,16.12,24.18,Wood,
FC-312WR,FC Raw #312 Walnut,1.5,0.687,0.25,,,36.06,Wood,
312WF,Oil & Wax #312 Walnut,1.5,0.687,0.25,15.63,22.82,30.81,Wood,
FC-312WF,FC Oil & Wax #312 Walnut,1.5,0.687,0.25,,,36.75,Wood,
312WP,Padauk #312 Walnut,1.5,0.687,0.25,16.47,24.05,32.47,Wood,
FC-312WP,FC Padauk #312 Walnut,1.5,0.687,0.25,,,37.43,Wood,
312WB,Special Dark #312 Walnut,1.5,0.687,0.25,16.47,24.05,32.47,Wood,
FC-312WB,FC Special Dark #312 Walnut,1.5,0.687,0.25,,,37.43,Wood,
312WE,Ebony #312 Walnut,1.5,0.687,0.25,15.63,22.82,30.81,Wood,
FC-312WE,FC Ebony #312 Walnut,1.5,0.687,0.25,,,37.43,Wood,
312WK,Satin Black #312 Walnut,1.5,0.687,0.25,14.84,21.67,29.25,Wood,
FC-312WK,FC Satin Black #312 Walnut,1.5,0.687,0.25,,,36.75,Wood,
312W1,Light Grey #312 Walnut,1.5,0.687,0.25,14.84,21.67,29.25,Wood,
FC-312W1,FC Light Grey #312 Walnut,1.5,0.687,0.25,,,36.75,Wood,
312W2,Medium Grey #312 Walnut,1.5,0.687,0.25,14.84,21.67,29.25,Wood,
FC-312W2,FC Medium Grey #312 Walnut,1.5,0.687,0.25,,,36.75,Wood,
312W3,Dark Grey #312 Walnut,1.5,0.687,0.25,14.84,21.67,29.25,Wood,
FC-312W3,FC Dark Grey #312 Walnut,1.5,0.687,0.25,,,36.75,Wood,
333CR,Raw #333 Cherry,1.75,0.906,0.313,9.15,13.73,20.6,Wood,
FC-333CR,FC Raw #333 Cherry,1.75,0.906,0.313,,,34.36,Wood,
333CF,Oil & Wax #333 Cherry,1.75,0.906,0.313,12.68,19.02,25.68,Wood,
FC-333CF,FC Oil & Wax #333 Cherry,1.75,0.906,0.313,,,35.04,Wood,
333CL,Clear Lacquer #333 Cherry,1.75,0.906,0.313,14.58,21.87,29.52,Wood,
FC-333CL,FC Clear Lacquer #333 Cherry,1.75,0.906,0.313,,,36.42,Wood,
333CG,Aged #333 Cherry,1.75,0.906,0.313,14.58,21.87,29.52,Wood,
FC-333CG,FC Aged #333 Cherry,1.75,0.906,0.313,,,36.42,Wood,
333CQ,Antique #333 Cherry,1.75,0.906,0.313,14.58,21.87,29.52,Wood,
FC-333CQ,FC Antique #333 Cherry,1.75,0.906,0.313,,,36.42,Wood,
333CD,Black Cherry #333 Cherry,1.75,0.906,0.313,14.58,21.87,29.52,Wood,
FC-333CD,FC Black Cherry #333 Cherry,1.75,0.906,0.313,,,37.11,Wood,
333MR,Raw #333 Maple,1.75,0.906,0.313,9.42,13.38,20.07,Wood,
FC-333MR,FC Raw #333 Maple,1.75,0.906,0.313,,,34.01,Wood,
333MF,Oil & Wax #333 Maple,1.75,0.906,0.313,12.68,18.01,24.31,Wood,
FC-333MF,FC Oil & Wax #333 Maple,1.75,0.906,0.313,,,34.69,Wood,
333ML,Clear Lacquer #333 Maple,1.75,0.906,0.313,12.95,18.39,24.83,Wood,
FC-333ML,FC Clear Lacquer #333 Maple,1.75,0.906,0.313,,,34.69,Wood,
333MW,WhiteWash #333 Maple,1.75,0.906,0.313,14.01,19.89,26.85,Wood,
FC-333MW,FC WhiteWash #333 Maple,1.75,0.906,0.313,,,35.38,Wood,
333MT,White #333 Maple,1.75,0.906,0.313,13.22,18.77,25.34,Wood,
FC-333MT,FC White #333 Maple,1.75,0.906,0.313,,,36.07,Wood,
333MK,Satin Black #333 Maple,1.75,0.906,0.313,13.22,18.77,25.34,Wood,
FC-333MK,FC Satin Black #333 Maple,1.75,0.906,0.313,,,36.07,Wood,
333MA,Warm White #333 Maple,1.75,0.906,0.313,13.22,18.77,25.34,Wood,
FC-333MA,FC Warm White #333 Maple,1.75,0.906,0.313,,,36.07,Wood,
333MI,Rising White #333 Maple,1.75,0.906,0.313,13.22,18.77,25.34,Wood,
FC-333MI,FC Rising White #333 Maple,1.75,0.906,0.313,,,36.07,Wood,
333M1,Light Grey #333 Maple,1.75,0.906,0.313,13.22,18.77,25.34,Wood,
FC-333M1,FC Light Grey #333 Maple,1.75,0.906,0.313,,,36.07,Wood,
333M2,Medium Grey #333 Maple,1.75,0.906,0.313,13.22,18.77,25.34,Wood,
FC-333M2,FC Medium Grey #333 Maple,1.75,0.906,0.313,,,36.07,Wood,
333M3,Dark Grey #333 Maple,1.75,0.906,0.313,13.22,18.77,25.34,Wood,
FC-333M3,FC Dark Grey #333 Maple,1.75,0.906,0.313,,,36.07,Wood,
333M9,Wheat #333 Maple,1.75,0.906,0.313,14.01,19.89,26.85,Wood,
FC-333M9,FC Wheat #333 Maple,1.75,0.906,0.313,,,36.07,Wood,
351AR,Raw #351 Ash,1.25,0.562,0.25,4.56,6.48,10.37,Wood,
FC-351AR,FC Raw #351 Ash,1.25,0.562,0.25,,,27.79,Wood,
351AF,Oil & Wax #351 Ash,1.25,0.562,0.25,7.82,11.1,15.54,Wood,
FC-351AF,FC Oil & Wax #351 Ash,1.25,0.562,0.25,,,28.48,Wood,
351AL,Clear Lacquer #351 Ash,1.25,0.562,0.25,8.36,11.87,16.62,Wood,
FC-351AL,FC Clear Lacquer #351 Ash,1.25,0.562,0.25,,,28.48,Wood,
351AW,WhiteWash #351 Ash,1.25,0.562,0.25,10.26,14.57,20.4,Wood,
FC-351AW,FC WhiteWash #351 Ash,1.25,0.562,0.25,,,29.17,Wood,
351AT,White #351 Ash,1.25,0.562,0.25,10.26,14.57,20.4,Wood,
FC-351AT,FC White #351 Ash,1.25,0.562,0.25,,,30.54,Wood,
351AK,Satin Black #351 Ash,1.25,0.562,0.25,10.26,14.57,20.4,Wood,
FC-351AK,FC Satin Black #351 Ash,1.25,0.562,0.25,,,30.54,Wood,
351AA,Warm White #351 Ash,1.25,0.562,0.25,10.26,14.57,20.4,Wood,
FC-351AA,FC Warm White #351 Ash,1.25,0.562,0.25,,,30.54,Wood,
351AC,Charcoal #351 Ash,1.25,0.562,0.25,10.26,14.57,20.4,Wood,
FC-351AC,FC Charcoal #351 Ash,1.25,0.562,0.25,,,30.54,Wood,
351AI,Rising White #351 Ash,1.25,0.562,0.25,10.26,14.57,20.4,Wood,
FC-351AI,FC Rising White #351 Ash,1.25,0.562,0.25,,,30.54,Wood,
351A1,Light Grey #351 Ash,1.25,0.562,0.25,10.26,14.57,20.4,Wood,
FC-351A1,FC Light Grey #351 Ash,1.25,0.562,0.25,,,30.54,Wood,
351A2,Medium Grey #351 Ash,1.25,0.562,0.25,10.26,14.57,20.4,Wood,
FC-351A2,FC Medium Grey #351 Ash,1.25,0.562,0.25,,,30.54,Wood,
351A3,Dark Grey #351 Ash,1.25,0.562,0.25,10.26,14.57,20.4,Wood,
FC-351A3,FC Dark Grey #351 Ash,1.25,0.562,0.25,,,30.54,Wood,
351CR,Raw #351 Cherry,1.25,0.562,0.25,5.21,7.61,12.18,Wood,
FC-351CR,FC Raw #351 Cherry,1.25,0.562,0.25,,,28.92,Wood,
351CF,Oil & Wax #351 Cherry,1.25,0.562,0.25,8.74,12.76,17.86,Wood,
FC-351CF,FC Oil & Wax #351 Cherry,1.25,0.562,0.25,,,29.61,Wood,
351CL,Clear Lacquer #351 Cherry,1.25,0.562,0.25,10.64,15.53,21.74,Wood,
FC-351CL,FC Clear Lacquer #351 Cherry,1.25,0.562,0.25,,,30.99,Wood,
351CG,Aged #351 Cherry,1.25,0.562,0.25,10.64,15.53,21.74,Wood,
FC-351CG,FC Aged #351 Cherry,1.25,0.562,0.25,,,30.99,Wood,
351CQ,Antique #351 Cherry,1.25,0.562,0.25,10.64,15.53,21.74,Wood,
FC-351CQ,FC Antique #351 Cherry,1.25,0.562,0.25,,,30.99,Wood,
351CD,Black Cherry #351 Cherry,1.25,0.562,0.25,10.64,15.53,21.74,Wood,
FC-351CD,FC Black Cherry #351 Cherry,1.25,0.562,0.25,,,31.67,Wood,
351MR,Raw #351 Maple,1.25,0.562,0.25,5.19,7.16,11.46,Wood,
FC-351MR,FC Raw #351 Maple,1.25,0.562,0.25,,,28.47,Wood,
351MF,Oil & Wax #351 Maple,1.25,0.562,0.25,8.45,11.66,16.32,Wood,
FC-351MF,FC Oil & Wax #351 Maple,1.25,0.562,0.25,,,29.16,Wood,
351ML,Clear Lacquer #351 Maple,1.25,0.562,0.25,8.72,12.03,16.84,Wood,
FC-351ML,FC Clear Lacquer #351 Maple,1.25,0.562,0.25,,,29.16,Wood,
351MW,WhiteWash #351 Maple,1.25,0.562,0.25,9.78,13.5,18.9,Wood,
FC-351MW,FC WhiteWash #351 Maple,1.25,0.562,0.25,,,29.85,Wood,
351MT,White #351 Maple,1.25,0.562,0.25,8.99,12.41,17.37,Wood,
FC-351MT,FC White #351 Maple,1.25,0.562,0.25,,,30.54,Wood,
351MK,Satin Black #351 Maple,1.25,0.562,0.25,8.99,12.41,17.37,Wood,
FC-351MK,FC Satin Black #351 Maple,1.25,0.562,0.25,,,30.54,Wood,
351MA,Warm White #351 Maple,1.25,0.562,0.25,8.99,12.41,17.37,Wood,
FC-351MA,FC Warm White #351 Maple,1.25,0.562,0.25,,,30.54,Wood,
351MI,Rising White #351 Maple,1.25,0.562,0.25,8.99,12.41,17.37,Wood,
FC-351MI,FC Rising White #351 Maple,1.25,0.562,0.25,,,30.54,Wood,
351M1,Light Grey #351 Maple,1.25,0.562,0.25,8.99,12.41,17.37,Wood,
FC-351M1,FC Light Grey #351 Maple,1.25,0.562,0.25,,,30.54,Wood,
351M2,Medium Grey #351 Maple,1.25,0.562,0.25,8.99,12.41,17.37,Wood,
FC-351M2,FC Medium Grey #351 Maple,1.25,0.562,0.25,,,30.54,Wood,
351M3,Dark Grey #351 Maple,1.25,0.562,0.25,8.99,12.41,17.37,Wood,
FC-351M3,FC Dark Grey #351 Maple,1.25,0.562,0.25,,,30.54,Wood,
351M9,Wheat #351 Maple,1.25,0.562,0.25,9.78,13.5,18.9,Wood,
FC-351M9,FC Wheat #351 Maple,1.25,0.562,0.25,,,30.54,Wood,
351OR,Raw #351 Oak,1.25,0.562,0.25,4.17,5.75,9.2,Wood,
FC-351OR,FC Raw #351 Oak,1.25,0.562,0.25,,,27.06,Wood,
351OF,Oil & Wax #351 Oak,1.25,0.562,0.25,7.43,10.25,14.35,Wood,
FC-351OF,FC Oil & Wax #351 Oak,1.25,0.562,0.25,,,27.75,Wood,
351OL,Clear Lacquer #351 Oak,1.25,0.562,0.25,7.7,10.63,14.88,Wood,
FC-351OL,FC Clear Lacquer #351 Oak,1.25,0.562,0.25,,,27.75,Wood,
351WR,Raw #351 Walnut,1.25,0.562,0.25,9.55,13.94,22.3,Wood,
FC-351WR,FC Raw #351 Walnut,1.25,0.562,0.25,,,35.25,Wood,
351WF,Oil & Wax #351 Walnut,1.25,0.562,0.25,14.14,20.64,28.9,Wood,
FC-351WF,FC Oil & Wax #351 Walnut,1.25,0.562,0.25,,,35.94,Wood,
351WP,Padauk #351 Walnut,1.25,0.562,0.25,14.98,21.87,30.62,Wood,
FC-351WP,FC Padauk #351 Walnut,1.25,0.562,0.25,,,36.63,Wood,
351WB,Special Dark #351 Walnut,1.25,0.562,0.25,14.98,21.87,30.62,Wood,
FC-351WB,FC Special Dark #351 Walnut,1.25,0.562,0.25,,,36.63,Wood,
351WE,Ebony #351 Walnut,1.25,0.562,0.25,14.14,20.64,28.9,Wood,
FC-351WE,FC Ebony #351 Walnut,1.25,0.562,0.25,,,36.63,Wood,
351WK,Satin Black #351 Walnut,1.25,0.562,0.25,13.35,19.49,27.29,Wood,
FC-351WK,FC Satin Black #351 Walnut,1.25,0.562,0.25,,,35.94,Wood,
351W1,Light Grey #351 Walnut,1.25,0.562,0.25,13.35,19.49,27.29,Wood,
FC-351W1,FC Light Grey #351 Walnut,1.25,0.562,0.25,,,35.94,Wood,
351W2,Medium Grey #351 Walnut,1.25,0.562,0.25,13.35,19.49,27.29,Wood,
FC-351W2,FC Medium Grey #351 Walnut,1.25,0.562,0.25,,,35.94,Wood,
351W3,Dark Grey #351 Walnut,1.25,0.562,0.25,13.35,19.49,27.29,Wood,
FC-351W3,FC Dark Grey #351 Walnut,1.25,0.562,0.25,,,35.94,Wood,
351QR,Raw #351 Qtrd W. Oak,1.25,0.562,0.25,8.89,14.67,23.47,Wood,
FC-351QR,FC Raw #351 Qtrd W. Oak,1.25,0.562,0.25,,,36.67,Wood,
351QF,Oil & Wax #351 Qtrd W. Oak,1.25,0.562,0.25,12.15,20.05,28.07,Wood,
FC-351QF,FC Oil & Wax #351 Qtrd W. Oak,1.25,0.562,0.25,,,37.36,Wood,
351QL,Clear Lacquer #351 Qtrd W. Oak,1.25,0.562,0.25,12.42,20.49,28.69,Wood,
FC-351QL,FC Clear Lacquer #351 Qtrd W. Oak,1.25,0.562,0.25,,,37.36,Wood,
351QC,Charcoal #351 Qtrd W. Oak,1.25,0.562,0.25,14.32,23.63,33.08,Wood,
FC-351QC,FC Charcoal #351 Qtrd W. Oak,1.25,0.562,0.25,,,38.05,Wood,
351QM,Mission #351 Qtrd W. Oak,1.25,0.562,0.25,14.32,23.63,33.08,Wood,
FC-351QM,FC Mission #351 Qtrd W. Oak,1.25,0.562,0.25,,,38.05,Wood,
351Q7,Bleached #351 Qtrd W. Oak,1.25,0.562,0.25,14.32,23.63,33.08,Wood,
FC-351Q7,FC Bleached #351 Qtrd W. Oak,1.25,0.562,0.25,,,38.05,Wood,
352AR,Raw #352 Ash,1.5,0.562,0.25,4.92,6.99,11.18,Wood,
FC-352AR,FC Raw #352 Ash,1.5,0.562,0.25,,,28.3,Wood,
352AF,Oil & Wax #352 Ash,1.5,0.562,0.25,8.18,11.62,16.27,Wood,
FC-352AF,FC Oil & Wax #352 Ash,1.5,0.562,0.25,,,28.99,Wood,
352AL,Clear Lacquer #352 Ash,1.5,0.562,0.25,8.72,12.38,17.33,Wood,
FC-352AL,FC Clear Lacquer #352 Ash,1.5,0.562,0.25,,,28.99,Wood,
352AW,WhiteWash #352 Ash,1.5,0.562,0.25,10.62,15.08,21.11,Wood,
FC-352AW,FC WhiteWash #352 Ash,1.5,0.562,0.25,,,29.68,Wood,
352AT,White #352 Ash,1.5,0.562,0.25,10.62,15.08,21.11,Wood,
FC-352AT,FC White #352 Ash,1.5,0.562,0.25,,,31.05,Wood,
352AK,Satin Black #352 Ash,1.5,0.562,0.25,10.62,15.08,21.11,Wood,
FC-352AK,FC Satin Black #352 Ash,1.5,0.562,0.25,,,31.05,Wood,
352AA,Warm White #352 Ash,1.5,0.562,0.25,10.62,15.08,21.11,Wood,
FC-352AA,FC Warm White #352 Ash,1.5,0.562,0.25,,,31.05,Wood,
352AC,Charcoal #352 Ash,1.5,0.562,0.25,10.62,15.08,21.11,Wood,
FC-352AC,FC Charcoal #352 Ash,1.5,0.562,0.25,,,31.05,Wood,
352AI,Rising White #352 Ash,1.5,0.562,0.25,10.62,15.08,21.11,Wood,
FC-352AI,FC Rising White #352 Ash,1.5,0.562,0.25,,,31.05,Wood,
352A1,Light Grey #352 Ash,1.5,0.562,0.25,10.62,15.08,21.11,Wood,
FC-352A1,FC Light Grey #352 Ash,1.5,0.562,0.25,,,31.05,Wood,
352A2,Medium Grey #352 Ash,1.5,0.562,0.25,10.62,15.08,21.11,Wood,
FC-352A2,FC Medium Grey #352 Ash,1.5,0.562,0.25,,,31.05,Wood,
352A3,Dark Grey #352 Ash,1.5,0.562,0.25,10.62,15.08,21.11,Wood,
FC-352A3,FC Dark Grey #352 Ash,1.5,0.562,0.25,,,31.05,Wood,
352CR,Raw #352 Cherry,1.5,0.562,0.25,5.66,8.26,13.22,Wood,
FC-352CR,FC Raw #352 Cherry,1.5,0.562,0.25,,,29.57,Wood,
352CF,Oil & Wax #352 Cherry,1.5,0.562,0.25,9.19,13.42,18.79,Wood,
FC-352CF,FC Oil & Wax #352 Cherry,1.5,0.562,0.25,,,30.26,Wood,
352CL,Clear Lacquer #352 Cherry,1.5,0.562,0.25,11.09,16.19,22.67,Wood,
FC-352CL,FC Clear Lacquer #352 Cherry,1.5,0.562,0.25,,,31.64,Wood,
352CG,Aged #352 Cherry,1.5,0.562,0.25,11.09,16.19,22.67,Wood,
FC-352CG,FC Aged #352 Cherry,1.5,0.562,0.25,,,31.64,Wood,
352CQ,Antique #352 Cherry,1.5,0.562,0.25,11.09,16.19,22.67,Wood,
FC-352CQ,FC Antique #352 Cherry,1.5,0.562,0.25,,,31.64,Wood,
352CD,Black Cherry #352 Cherry,1.5,0.562,0.25,11.09,16.19,22.67,Wood,
FC-352CD,FC Black Cherry #352 Cherry,1.5,0.562,0.25,,,32.32,Wood,
352MR,Raw #352 Maple,1.5,0.562,0.25,5.6,7.73,12.37,Wood,
FC-352MR,FC Raw #352 Maple,1.5,0.562,0.25,,,29.04,Wood,
352MF,Oil & Wax #352 Maple,1.5,0.562,0.25,8.86,12.23,17.12,Wood,
FC-352MF,FC Oil & Wax #352 Maple,1.5,0.562,0.25,,,29.73,Wood,
352ML,Clear Lacquer #352 Maple,1.5,0.562,0.25,9.13,12.6,17.64,Wood,
FC-352ML,FC Clear Lacquer #352 Maple,1.5,0.562,0.25,,,29.73,Wood,
352MW,WhiteWash #352 Maple,1.5,0.562,0.25,10.19,14.06,19.68,Wood,
FC-352MW,FC WhiteWash #352 Maple,1.5,0.562,0.25,,,30.42,Wood,
352MT,White #352 Maple,1.5,0.562,0.25,9.4,12.97,18.16,Wood,
FC-352MT,FC White #352 Maple,1.5,0.562,0.25,,,31.11,Wood,
352MK,Satin Black #352 Maple,1.5,0.562,0.25,9.4,12.97,18.16,Wood,
FC-352MK,FC Satin Black #352 Maple,1.5,0.562,0.25,,,31.11,Wood,
352MA,Warm White #352 Maple,1.5,0.562,0.25,9.4,12.97,18.16,Wood,
FC-352MA,FC Warm White #352 Maple,1.5,0.562,0.25,,,31.11,Wood,
352MI,Rising White #352 Maple,1.5,0.562,0.25,9.4,12.97,18.16,Wood,
FC-352MI,FC Rising White #352 Maple,1.5,0.562,0.25,,,31.11,Wood,
352M1,Light Grey #352 Maple,1.5,0.562,0.25,9.4,12.97,18.16,Wood,
FC-352M1,FC Light Grey #352 Maple,1.5,0.562,0.25,,,31.11,Wood,
352M2,Medium Grey #352 Maple,1.5,0.562,0.25,9.4,12.97,18.16,Wood,
FC-352M2,FC Medium Grey #352 Maple,1.5,0.562,0.25,,,31.11,Wood,
352M3,Dark Grey #352 Maple,1.5,0.562,0.25,9.4,12.97,18.16,Wood,
FC-352M3,FC Dark Grey #352 Maple,1.5,0.562,0.25,,,31.11,Wood,
352M9,Wheat #352 Maple,1.5,0.562,0.25,10.19,14.06,19.68,Wood,
FC-352M9,FC Wheat #352 Maple,1.5,0.562,0.25,,,31.11,Wood,
352OR,Raw #352 Oak,1.5,0.562,0.25,4.55,6.28,10.05,Wood,
FC-352OR,FC Raw #352 Oak,1.5,0.562,0.25,,,27.59,Wood,
352OF,Oil & Wax #352 Oak,1.5,0.562,0.25,7.81,10.78,15.09,Wood,
FC-352OF,FC Oil & Wax #352 Oak,1.5,0.562,0.25,,,28.28,Wood,
352OL,Clear Lacquer #352 Oak,1.5,0.562,0.25,8.08,11.15,15.61,Wood,
FC-352OL,FC Clear Lacquer #352 Oak,1.5,0.562,0.25,,,28.28,Wood,
352WR,Raw #352 Walnut,1.5,0.562,0.25,10.07,14.7,23.52,Wood,
FC-352WR,FC Raw #352 Walnut,1.5,0.562,0.25,,,36.01,Wood,
352WF,Oil & Wax #352 Walnut,1.5,0.562,0.25,14.66,21.4,29.96,Wood,
FC-352WF,FC Oil & Wax #352 Walnut,1.5,0.562,0.25,,,36.7,Wood,
352WP,Padauk #352 Walnut,1.5,0.562,0.25,15.5,22.63,31.68,Wood,
FC-352WP,FC Padauk #352 Walnut,1.5,0.562,0.25,,,37.39,Wood,
352WB,Special Dark #352 Walnut,1.5,0.562,0.25,15.5,22.63,31.68,Wood,
FC-352WB,FC Special Dark #352 Walnut,1.5,0.562,0.25,,,37.39,Wood,
352WE,Ebony #352 Walnut,1.5,0.562,0.25,14.66,21.4,29.96,Wood,
FC-352WE,FC Ebony #352 Walnut,1.5,0.562,0.25,,,37.39,Wood,
352WK,Satin Black #352 Walnut,1.5,0.562,0.25,13.87,20.25,28.35,Wood,
FC-352WK,FC Satin Black #352 Walnut,1.5,0.562,0.25,,,36.7,Wood,
352W1,Light Grey #352 Walnut,1.5,0.562,0.25,13.87,20.25,28.35,Wood,
FC-352W1,FC Light Grey #352 Walnut,1.5,0.562,0.25,,,36.7,Wood,
352W2,Medium Grey #352 Walnut,1.5,0.562,0.25,13.87,20.25,28.35,Wood,
FC-352W2,FC Medium Grey #352 Walnut,1.5,0.562,0.25,,,36.7,Wood,
352W3,Dark Grey #352 Walnut,1.5,0.562,0.25,13.87,20.25,28.35,Wood,
FC-352W3,FC Dark Grey #352 Walnut,1.5,0.562,0.25,,,36.7,Wood,
352QR,Raw #352 Qtrd W. Oak,1.5,0.562,0.25,9.47,15.63,25.01,Wood,
FC-352QR,FC Raw #352 Qtrd W. Oak,1.5,0.562,0.25,,,37.63,Wood,
352QF,Oil & Wax #352 Qtrd W. Oak,1.5,0.562,0.25,12.73,21,29.4,Wood,
FC-352QF,FC Oil & Wax #352 Qtrd W. Oak,1.5,0.562,0.25,,,38.32,Wood,
352QL,Clear Lacquer #352 Qtrd W. Oak,1.5,0.562,0.25,13,21.45,30.03,Wood,
FC-352QL,FC Clear Lacquer #352 Qtrd W. Oak,1.5,0.562,0.25,,,38.32,Wood,
352QC,Charcoal #352 Qtrd W. Oak,1.5,0.562,0.25,14.9,24.58,34.41,Wood,
FC-352QC,FC Charcoal #352 Qtrd W. Oak,1.5,0.562,0.25,,,39.01,Wood,
352QM,Mission #352 Qtrd W. Oak,1.5,0.562,0.25,14.9,24.58,34.41,Wood,
FC-352QM,FC Mission #352 Qtrd W. Oak,1.5,0.562,0.25,,,39.01,Wood,
352Q7,Bleached #352 Qtrd W. Oak,1.5,0.562,0.25,14.9,24.58,34.41,Wood,
FC-352Q7,FC Bleached #352 Qtrd W. Oak,1.5,0.562,0.25,,,39.01,Wood,
354AR,Raw #354 Ash,2,0.562,0.25,5.56,7.9,12.64,Wood,
FC-354AR,FC Raw #354 Ash,2,0.562,0.25,,,29.21,Wood,
354AF,Oil & Wax #354 Ash,2,0.562,0.25,8.82,12.52,17.53,Wood,
FC-354AF,FC Oil & Wax #354 Ash,2,0.562,0.25,,,29.9,Wood,
354AL,Clear Lacquer #354 Ash,2,0.562,0.25,9.36,13.29,18.61,Wood,
FC-354AL,FC Clear Lacquer #354 Ash,2,0.562,0.25,,,29.9,Wood,
354AW,WhiteWash #354 Ash,2,0.562,0.25,11.26,15.99,22.39,Wood,
FC-354AW,FC WhiteWash #354 Ash,2,0.562,0.25,,,30.59,Wood,
354AT,White #354 Ash,2,0.562,0.25,11.26,15.99,22.39,Wood,
FC-354AT,FC White #354 Ash,2,0.562,0.25,,,31.96,Wood,
354AK,Satin Black #354 Ash,2,0.562,0.25,11.26,15.99,22.39,Wood,
FC-354AK,FC Satin Black #354 Ash,2,0.562,0.25,,,31.96,Wood,
354AA,Warm White #354 Ash,2,0.562,0.25,11.26,15.99,22.39,Wood,
FC-354AA,FC Warm White #354 Ash,2,0.562,0.25,,,31.96,Wood,
354AC,Charcoal #354 Ash,2,0.562,0.25,11.26,15.99,22.39,Wood,
FC-354AC,FC Charcoal #354 Ash,2,0.562,0.25,,,31.96,Wood,
354AI,Rising White #354 Ash,2,0.562,0.25,11.26,15.99,22.39,Wood,
FC-354AI,FC Rising White #354 Ash,2,0.562,0.25,,,31.96,Wood,
354A1,Light Grey #354 Ash,2,0.562,0.25,11.26,15.99,22.39,Wood,
FC-354A1,FC Light Grey #354 Ash,2,0.562,0.25,,,31.96,Wood,
354A2,Medium Grey #354 Ash,2,0.562,0.25,11.26,15.99,22.39,Wood,
FC-354A2,FC Medium Grey #354 Ash,2,0.562,0.25,,,31.96,Wood,
354A3,Dark Grey #354 Ash,2,0.562,0.25,11.26,15.99,22.39,Wood,
FC-354A3,FC Dark Grey #354 Ash,2,0.562,0.25,,,31.96,Wood,
354CR,Raw #354 Cherry,2,0.562,0.25,6.66,9.72,15.55,Wood,
FC-354CR,FC Raw #354 Cherry,2,0.562,0.25,,,31.03,Wood,
354CF,Oil & Wax #354 Cherry,2,0.562,0.25,10.19,14.88,20.83,Wood,
FC-354CF,FC Oil & Wax #354 Cherry,2,0.562,0.25,,,31.72,Wood,
354CL,Clear Lacquer #354 Cherry,2,0.562,0.25,12.09,17.65,24.71,Wood,
FC-354CL,FC Clear Lacquer #354 Cherry,2,0.562,0.25,,,33.1,Wood,
354CG,Aged #354 Cherry,2,0.562,0.25,12.09,17.65,24.71,Wood,
FC-354CG,FC Aged #354 Cherry,2,0.562,0.25,,,33.1,Wood,
354CQ,Antique #354 Cherry,2,0.562,0.25,12.09,17.65,24.71,Wood,
FC-354CQ,FC Antique #354 Cherry,2,0.562,0.25,,,33.1,Wood,
354CD,Black Cherry #354 Cherry,2,0.562,0.25,12.09,17.65,24.71,Wood,
FC-354CD,FC Black Cherry #354 Cherry,2,0.562,0.25,,,33.78,Wood,
354MR,Raw #354 Maple,2,0.562,0.25,6.56,9.05,14.48,Wood,
FC-354MR,FC Raw #354 Maple,2,0.562,0.25,,,30.36,Wood,
354MF,Oil & Wax #354 Maple,2,0.562,0.25,9.82,13.55,18.97,Wood,
FC-354MF,FC Oil & Wax #354 Maple,2,0.562,0.25,,,31.05,Wood,
354ML,Clear Lacquer #354 Maple,2,0.562,0.25,10.09,13.92,19.49,Wood,
FC-354ML,FC Clear Lacquer #354 Maple,2,0.562,0.25,,,31.05,Wood,
354MW,WhiteWash #354 Maple,2,0.562,0.25,11.15,15.39,21.55,Wood,
FC-354MW,FC WhiteWash #354 Maple,2,0.562,0.25,,,31.74,Wood,
